title ,text,subject,date
Elon Musk Menghapus Akun Twitter Greta Thunberg pada 9 Maret 2023,Ini adalah salah satu hal terbaik dan luar biasa yang pernah Elon Musk lakukan. Baru masuk: Elon Musk melarang Greta Thunberg dari Twitter”,Internasional,2023
Jenazah Ferdy Sambo Dipulangkan ke Jakarta Usai Jalani Eksekusi Mati,Pecah Tangis Keluarga dan Ibu PC saat Jenazah Sambo Dipulangkan ke Jakarta Usai Jalani Eks3kusi M4ti,Kriminal,2023
Ayah Brigadir J Ditahan Usai Hina Kapolri,GegerAyah Brigadir J Ditahan !? Usai Hina Kapolri Kini Ortu Yosua R3smi jadi Tersangka,Kriminal,2023
Gelombang Tinggi Lenyapkan Kota di Indonesia,LENYAP SEKETIKA… INDONESIA HARI INI MENANGIS GELOMBANG TINGGI TABRAK WILAYAH INI,Bencana Alam,2023
JADI BURONAN KPK !! SRI MULYANI KABUR KE LUAR NEGERI TAKUT DI PENJARA,JADI BURONAN KPK !! SRI MULYANI KABUR KE LUAR NEGERI TAKUT DI PENJARA,Kriminal,2023
Surat Tilang APK,"Selamat siang pak/ibu Kami dari kepolisian menginformasikan bahwa bapak/ibu melakukan pelanggaran, Silakan Buka aplikasi untuk melihat surat tilangnya. Jika suratnya sudah dibaca silakan segera datang ke kantor polisi yang terdekat.",Penipuan,2023
Pertama Kali Indonesia Berikan Status Kewarganegaraan Ganda,"Untuk pertama kali Indonesia memberikan status kewarganegaraan ganda atau dwi kewarganegaraan terhadap seorang wanita keturunan Belanda yang juga memiliki darah Indonesia. Kepala Kantor Wilayah (Kakanwil) Kemenkumham Jawa Barat R. Andika Dwi Prasetya mengambil sumpah satu orang pemohon kewarganegaraan atas nama Felicia Liana Adema di Bandung, Rabu (8/3/2023) kemarin. “Menjadi penting untuk diperhatikan oleh warga negara yang baru diambil sumpahnya sebagai warga negara Indonesia untuk segera melaporkan diri pada Kantor Imigrasi pada wilayah kediaman saudara dan menyerahkan kembali dokumen-dokumen keimigrasian Saudara,” kata Andika dilansir Indozone dari laman Kemenkumham Kanwil Jabar, Jumat (10/3/2023). Dia juga meminta warga negara yang baru diambil sumpahnya sebagai warga negara Indonesia untuk wajib melaporkan diri pada Dinas Kependudukan dan Pencatatan Sipil pada wilayah kediamannya. ""Kemudian, melaporkan pada Kedutaan Besar Negara yang menjadi kewarganegaraan sebelumnya dengan melampirkan salinan surat Keputusan Presiden tentang pengangkatan sebagai WNI dan berita acara pengambilan sumpah sebagai WNI,"" katanya lagi.",Lain-lain,2023
Banyak Orang Meninggal Akibat Memakan Ikan yang Terkontaminasi HIV,"Ct. Dari messenger. Semua orang telah diberitahu bahwa kami tidak boleh makan hari ini karena laut tengah dipenuhi dengan tabung dari rumah sakit yang berasal dari h.i.v. banyak orang yang meninggal di cdo 372, iligan 24, gingoog 18, valencia 18, maramag 18, opol 11 itu yang terbunuh karena makan ikan, biar gak ada yang makan satupun ikan kasi ke semua pesan ini orang biar tau. Copy paste diteruskan dari DOH, Bayugan",Kesehatan,2023
Tukul Arwana Meninggal Saat Dilarikan ke Rumah Sakit,"Tukul Arwana Berduka, Meninggal Dunia Saat Sedang Dilarikan ke Rumah Sakit",Lain-lain,2023
Cerita Reinkarnasi Pelaut Wanita Bernama Renahhta Moe,"Di tahun 1789 ada seorang nahkoda perempuan bernama “Renahtta.Moe” Dia seorang nahkoda yang cantik,baik..Tetapi di tahun 1801 kapten “Renahtta.Moe” tenggelam di tengah lautan karena kapal nya bocor,dan ukuran nya sangat besar dan kapal nya tidak seimbang dan akhirnya 1789-Renantta Moe tenggelam.dan kapten Renahtta.Moe”akhirnya meninggal karena kehabisan napas. tetapi di tahun 2023 ada seorang wanita cantik bernama “Renatta.Moeloek” adalah seorang chef yang cantik,baik,dan terkenal…banyak orang mengatakan jika’CHEF-Renatta.Moeloek” mirip dengan kapten”Renahtta.Moe” dan mirip dengan sifat nya tegas,baik,dan dengan wajah yang sangat cantik……",Lain-lain,2023
Kuburan Ferdy Sambo Keluar Api dan Ular,BIKIN GEGER !! Trisha Sampai Pingsan di Pemakaman Sambo Keluar Api dan Ada Ular di Sekeliling Makam,Lain-lain,2023
Ferdy Sambo Teriak Ngamuk Tak Terima Dihukum Mati,"Kabar Duka, Ferdy Sambo Nekat Tak Mau Di Hukum Berat, Ferdy Sambo Sampai Lakukan Ini !",Kriminal,2023
NEGERI JIRAN UNDANG CHINA? TNI KEPUNG AUSTRALIA DARI SEGALA ARAH,NEGERI JIRAN UNDANG CHINATNI KEPUNG AUSTRALIA DARI SEGALA ARAH,Internasional,2023
Presiden Jokowi Pecat Kapolri Listyo Sigit,G3GER MALAM INI — JOKOWI P3C4T KAPOLRI SIGIT K4RNA TAK B3CVS T4NGANI K4SUS S4MBO,Pemerintahan,2023
PENYANYI JUSTIN BIEBER DIKABARKAN MENINGGAL DUNIA,PENYANYI JUSTIN BIEBER DIKABARKAN MENINGGAL DUNIA,Lain-lain,2023
"RIBUAN MASSA GERUDUK KEMENKEU, TUNTUT SRI MULYANI MUNDUR DARI JABATAN",M3ncek4m!! R1buan M4ss4 Gervduk K3menku Tvntvt Sr1 Muly4ni Mvndvr Dari Jabatan!!,Pemerintahan,2023
Aliando Meninggal karena kecelakaan maut,"Innalillahi, Aliando Syarief Mendadak Meninggal Dunia Akibat Penyakit Misterius",Lain-lain,2023
MOBIL HAKIM DIBAKAR AKIBAT TUNDA PEMILU 2024,H4KIM S3SAT TUNDA PEMILU !! MOBIL LUDES DIB4K4R M4SS4 — BERITA TERBARU. Mencekam!!… MOBIL H4K1M DIB4K4R MASS4 PN JAKARTA PUSAT DI SEGEL PENDEMO,Politik,2023
DETIK-DETIK KEBAKARAN PERTAMINA PLUMPANG,Detik detik kebakaran pertamina plumpang #kebakaran #pertaminaplumpang #pertamina #pelumang #kebakaranpertamina #fyp #viral #beritatiktok,Lain-lain,2023
"Harry Tanoesoedibjo Dimiskinkan, Korupsinya Mencapai 72 Triliun Rupiah","Harry Tanoe Sudibyo Dimiskinkan, dgn disita beberapa aset nya. Korupsinya Mencapai 72 Triliun, Wah Fantastis",Fitnah,2023
Prabowo Bawa Ribuan Pasukan Tuntut Istana Tolak Penundaan Pemilu,PRABOWO BAWA PASUKAN TUNTUT ISTANA TOLAK PENUNDAAN PEMILU,Politik,2023
Bunga Kitolod dapat Mengobati Gangguan Mata Mulai dari Mata Minus hingga Katarak,"Bunga Kitolod untuk mata minus Bunga kitolod merupakan jenis tanaman liar yang mudah ditemukan di berbagai tempat. Tanaman dengan nama ilmiah Isotomo longiflora ini disebut memiliki berbagai manfaat bagi kesehatan. Kandungan dari ekstrak daun kitolod di antaranya adalah Alkaloid, Flavonoid, dan Saponin Dengan berbagai kandunga tersebut, tak heran jika banyak orang yang menggunakannya sebagai tanaman obat, terutama pengobatan mata. Bunga kitolod dipercaya dapat mengobati gangguan mata mulai dari mata minus hingga katarak.",Kesehatan,2023
Video Warga Cina Melarikan Diri ke Vietnam Saat Perbatasan Cina-Vietnam Dibuka,"Pada hari di mana perbatasan Cina-Vietnam dibuka, orang Cina melarikan diri dengan sekuat tenaga",Internasional,2023
